student_id,name,email,school,program,year_of_study,enrollment_date,attendance_rate,avg_engagement_score,assignment_completion_rate,avg_assignment_score,avg_grade_points,avg_login_count,time_spent_minutes,consecutive_absences,repeat_courses,forum_posts,late_submissions,help_requests,total_enrollments
STU20000,Student_1,student1@strathmore.edu,SBS,BCOM,1,2024-11-25,87.22,71.71,0.75,91.59,4.0,10.93,162.51,0,0,9,3,8,6
STU20001,Student_2,student2@strathmore.edu,SCES,CNS,3,2022-09-18,90.78,77.76,0.82,92.53,4.0,13.03,167.0,0,0,7,3,7,8
STU20002,Student_3,student3@strathmore.edu,SBS,BSCM,1,2024-12-10,91.75,90.24,0.94,93.83,4.0,13.09,182.19,0,0,14,4,7,5
STU20003,Student_4,student4@strathmore.edu,SHSS,COMMON UNITS,3,2022-08-09,63.48,64.95,0.53,83.93,3.58,9.57,142.17,9,0,12,5,8,6
STU20004,Student_5,student5@strathmore.edu,SBS,BSCM,2,2024-02-03,90.53,76.61,0.74,90.96,4.0,11.82,181.04,3,0,12,3,5,8
STU20005,Student_6,student6@strathmore.edu,STH,BTM,1,2024-12-10,92.23,89.53,0.95,88.72,4.0,13.22,195.05,2,0,19,2,3,5
STU20006,Student_7,student7@strathmore.edu,SHSS,COMMON UNITS,1,2024-11-07,87.32,82.84,0.81,95.0,4.0,12.71,181.12,3,0,7,2,10,5
STU20007,Student_8,student8@strathmore.edu,SCES,CNS,2,2023-10-31,84.29,76.97,0.53,94.94,4.0,12.17,161.35,3,0,11,2,4,7
STU20008,Student_9,student9@strathmore.edu,SHSS,BA,4,2021-11-04,81.36,64.94,0.81,82.41,4.0,11.36,148.34,4,0,15,3,7,5
STU20009,Student_10,student10@strathmore.edu,SCES,BBIT,3,2022-11-22,87.27,81.68,0.71,84.39,4.0,11.81,191.23,0,0,11,4,10,5
STU20010,Student_11,student11@strathmore.edu,STH,BTM,1,2024-08-25,86.97,84.64,0.59,95.0,4.0,11.26,200.13,3,0,15,0,8,7
STU20011,Student_12,student12@strathmore.edu,SCES,CNS,1,2024-11-27,93.52,86.18,0.91,90.75,4.0,11.07,158.2,2,0,14,4,6,6
STU20012,Student_13,student13@strathmore.edu,SLS,LAW,1,2024-10-08,61.41,58.81,0.53,71.64,3.14,9.77,131.09,9,2,13,4,9,6
STU20013,Student_14,student14@strathmore.edu,SBS,BCOM,3,2023-01-21,81.11,79.33,0.68,88.07,4.0,12.26,168.97,2,0,10,3,1,7
STU20014,Student_15,student15@strathmore.edu,SHSS,COMMON UNITS,1,2024-12-11,90.16,80.65,0.65,95.0,4.0,11.22,187.72,3,0,15,4,6,6
STU20015,Student_16,student16@strathmore.edu,SLS,LAW,2,2023-08-24,77.65,75.79,0.63,87.66,4.0,10.74,172.13,3,0,13,5,8,7
STU20016,Student_17,student17@strathmore.edu,SHSS,COMMON UNITS,1,2024-09-13,88.43,83.95,0.86,80.95,4.0,11.81,210.01,1,0,12,4,6,8
STU20017,Student_18,student18@strathmore.edu,SBS,BSCM,2,2023-12-10,91.61,93.81,0.71,95.0,4.0,12.71,219.37,4,0,11,2,5,8
STU20018,Student_19,student19@strathmore.edu,SBS,BSCM,4,2021-12-27,62.43,50.0,0.6,82.43,3.25,8.86,154.36,5,0,10,4,8,8
STU20019,Student_20,student20@strathmore.edu,SHSS,COMMON UNITS,1,2024-10-29,88.62,78.7,0.58,79.66,4.0,12.29,158.79,4,0,10,1,5,7
