student_id,name,cohort_year,program_code,school_id,y1s1_attendance_rate,y1s1_gpa,y1s1_avg_grade,y1s1_lms_activities,y1s1_courses_enrolled,y1s1_exam_eligible,y1s1_attendance_below_67,y1s1_gpa_below_2,y1s1_grade_below_40,y1s1_low_engagement,dropped_out,graduated_on_time,delayed_graduation,failed_courses,final_status
H2021_101502,Michael Muthoni,2021,BCNC,SCES,0.757,2.42,62.7,54,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_102587,Jane Wanjiru,2021,BBSE,SIMS,0.834,3.24,76.6,79,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_102654,Jane Kamau,2021,BBSF,SIMS,0.764,3.14,80.5,110,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101056,Jane Muthoni,2021,BFS,SBS,0.867,3.33,73.2,92,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100706,David Kamau,2021,BSCM,SBS,0.999,3.54,81.6,198,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100107,Grace Ochieng,2021,BSCM,SBS,0.792,2.76,70.3,58,6,1,0,0,0,0,0,1,0,1,GRADUATED
H2021_100590,Daniel Wambui,2021,BFS,SBS,0.758,2.83,71.4,50,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_102469,Daniel Wanjiru,2021,BEEE,SCES,0.778,2.98,71.7,100,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_102414,Joseph Achieng,2021,BEEE,SCES,0.981,3.5,86.5,109,7,1,0,0,0,0,0,0,1,0,DELAYED
H2021_101601,Michael Ochieng,2021,BICS,SCES,0.669,2.19,46.0,26,6,0,1,0,0,1,0,1,0,0,GRADUATED
H2021_102465,David Kibet,2021,BEEE,SCES,0.871,3.54,83.5,106,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100229,Kevin Wambui,2021,BSCM,SBS,0.945,3.94,81.4,165,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100916,Peter Wambui,2021,BSCM,SBS,0.875,3.2,77.1,82,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100795,Joseph Njoroge,2021,BSCM,SBS,0.498,1.98,45.4,14,7,0,1,1,0,1,1,0,0,1,DROPPED_OUT
H2021_103022,Mary Njoroge,2021,BSSD,SIMS,0.665,2.87,67.0,64,6,0,1,0,0,0,1,0,0,1,DROPPED_OUT
H2021_103544,Mary Wambui,2021,BAIS,SHSS,0.734,2.55,64.1,79,6,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_101074,Kevin Njoroge,2021,BCOM,SBS,0.917,3.87,91.1,148,6,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_103352,Kevin Wambui,2021,BADS,SHSS,0.787,2.78,72.2,77,6,1,0,0,0,0,0,1,0,1,GRADUATED
H2021_101745,Faith Njoroge,2021,BBIT,SCES,1.0,3.56,82.5,108,6,1,0,0,0,0,0,1,0,1,GRADUATED
H2021_101085,Jane Wanjiru,2021,BCOM,SBS,0.783,2.89,84.1,74,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100927,Ruth Muthoni,2021,BSCM,SBS,0.563,2.09,32.3,44,7,0,1,0,1,1,1,0,0,1,DROPPED_OUT
H2021_103050,David Kamau,2021,BBSF,SIMS,0.99,3.74,94.2,197,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_101118,Lucy Njoroge,2021,BFS,SBS,0.993,3.64,83.8,193,6,1,0,0,0,0,1,0,0,1,DROPPED_OUT
H2021_100643,Ann Ochieng,2021,BCOM,SBS,0.649,2.03,49.1,38,6,0,1,0,0,1,0,1,0,0,GRADUATED
H2021_104768,Grace Ochieng,2021,LLB,SLS,0.784,2.86,78.7,101,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100502,Peter Wanjiru,2021,BFS,SBS,0.387,2.08,57.4,26,7,0,1,0,0,1,1,0,0,1,DROPPED_OUT
H2021_104067,Sarah Wanjiru,2021,BSCP,SHSS,0.889,3.45,75.2,67,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100334,David Kibet,2021,BSCM,SBS,0.887,3.29,79.7,108,6,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_104685,James Wambui,2021,LLB,SLS,0.896,3.95,89.8,173,7,1,0,0,0,0,0,1,0,0,GRADUATED
H2021_100487,Peter Muthoni,2021,BSCM,SBS,0.871,3.87,94.8,196,6,1,0,0,0,0,0,0,1,0,DELAYED
