student_id,name,email,gender,age,program_id,program_code,school_id,year_of_study,semester,class_level,enrollment_date,status,avg_grade,cumulative_gpa,courses_enrolled,physical_attendance_rate,sessions_attended,sessions_total,lms_activity_count,lms_total_minutes,lms_avg_session_minutes,lms_logins_monthly,school_name,program_name,exam_eligible,attendance_category,attendance_compliant,gpa_below_2.0,grade_below_40,performance_category,academic_at_risk,lms_engagement_index,low_lms_engagement,engagement_category,compliance_score,multiple_violations,overall_risk_score,risk_level,dropout_risk_score,dropout_risk,failure_risk_score,failure_risk,delay_risk_score,delay_risk
100001,Emmanuel Muthoni,emmanuel.muthoni1@strathmore.edu,Male,19,SBS_BCOM,BCOM,SBS,1,2,BCOM1.2,2024-12-03,Active,70.12857142857142,2.8057142857142856,7.0,0.6836734693877551,134.0,196.0,401.0,9978.0,24.88279301745636,100.25,Strathmore University Business School,Bachelor of Commerce,1,Borderline,1,0,0,Average,0,62.558502340093604,0,Medium,3,0,1,Low,0,0,0,0,0,0
100002,Joyce Jepkorir,joyce.jepkorir2@strathmore.edu,Male,18,SBS_BSCM,BSCM,SBS,1,2,BSCM1.2,2024-12-15,Active,77.17142857142858,3.085714285714286,7.0,0.8469387755102041,166.0,196.0,580.0,17333.0,29.88448275862069,145.0,Strathmore University Business School,Bachelor of Science in Supply Chain and Operations Management,1,Good,1,0,0,Good,0,90.48361934477379,0,High,3,0,0,Low,0,0,0,0,0,0
100003,Brian Kamau,brian.kamau3@strathmore.edu,Male,22,SBS_BCOM,BCOM,SBS,2,2,BCOM2.2,2023-08-11,Active,74.89999999999999,2.995,6.0,0.8234126984126985,151.0,182.0,509.0,18282.0,35.917485265225935,127.25,Strathmore University Business School,Bachelor of Commerce,1,Good,1,0,0,Average,0,79.40717628705148,0,High,3,0,0,Low,0,0,0,0,0,0
100004,John Achieng,john.achieng4@strathmore.edu,Female,22,SBS_BSCM,BSCM,SBS,4,2,BSCM4.2,2021-11-14,On Leave,74.175,2.967142857142857,6.0,0.7916666666666666,126.0,0.0,0.0,0.0,30.20418848167539,109.25,Strathmore University Business School,Bachelor of Science in Supply Chain and Operations Management,1,Good,1,0,0,Average,0,0.0,1,Very Low,3,0,3,Medium,3,0,0,0,0,0
100005,Daniel Muthoni,daniel.muthoni5@strathmore.edu,Male,20,SBS_BCOM,BCOM,SBS,1,2,BCOM1.2,2024-10-11,Active,81.41666666666667,3.2566666666666664,6.0,0.8511904761904763,143.0,168.0,490.0,15240.0,31.10204081632653,122.5,Strathmore University Business School,Bachelor of Commerce,1,Good,1,0,0,Good,0,76.4430577223089,0,High,3,0,0,Low,0,0,0,0,0,0
100006,Mary Kariuki,mary.kariuki6@strathmore.edu,Male,20,SBS_BSCM,BSCM,SBS,1,2,BSCM1.2,2024-07-31,Active,74.2,2.968571428571429,7.0,0.8112244897959184,159.0,196.0,481.0,13337.0,27.72765072765073,120.25,Strathmore University Business School,Bachelor of Science in Supply Chain and Operations Management,1,Good,1,0,0,Average,0,75.0390015600624,0,High,3,0,0,Low,0,0,0,0,0,0
100007,Ruth Njoroge,ruth.njoroge7@strathmore.edu,Male,20,SBS_BSCM,BSCM,SBS,1,1,BSCM1.1,2024-12-18,Active,74.89999999999999,2.9985714285714287,7.0,0.7551020408163265,148.0,196.0,466.0,14539.0,31.199570815450645,116.5,Strathmore University Business School,Bachelor of Science in Supply Chain and Operations Management,1,Good,1,0,0,Average,0,72.69890795631825,0,Medium,3,0,0,Low,0,0,0,0,0,0
100008,Sarah Mwangi,sarah.mwangi8@strathmore.edu,Female,21,SBS_BFS,BFS,SBS,3,2,BFS3.2,2022-10-06,Active,81.08,3.242,5.0,0.9,126.0,140.0,376.0,11398.0,30.31382978723404,94.0,Strathmore University Business School,Bachelor of Financial Services,1,Excellent,1,0,0,Good,0,58.65834633385335,0,Medium,3,0,0,Low,0,0,0,0,0,0
100009,Joyce Otieno,joyce.otieno9@strathmore.edu,Male,19,SBS_BCOM,BCOM,SBS,1,1,BCOM1.1,2024-09-11,Active,68.17142857142856,2.7285714285714286,7.0,0.75,147.0,196.0,445.0,10357.0,23.274157303370785,111.25,Strathmore University Business School,Bachelor of Commerce,1,Good,1,0,0,Average,0,69.42277691107644,0,Medium,3,0,0,Low,0,0,0,0,0,0
100010,Emmanuel Jepkorir,emmanuel.jepkorir10@strathmore.edu,Male,20,SBS_BFS,BFS,SBS,2,2,BFS2.2,2023-12-31,Active,57.41428571428571,2.2971428571428576,7.0,0.6207482993197279,127.0,210.0,350.0,8756.0,25.017142857142854,87.5,Strathmore University Business School,Bachelor of Financial Services,0,At Risk,0,0,0,Below Average,1,54.60218408736349,0,Medium,2,0,5,High,5,0,4,0,2,0
