student_id,name,email,gender,age,program_id,program_code,school_id,year_of_study,semester,class_level,enrollment_date,status,avg_grade,cumulative_gpa,courses_enrolled,physical_attendance_rate,sessions_attended,sessions_total,lms_activity_count,lms_total_minutes,lms_avg_session_minutes,lms_logins_monthly,school_name,program_name
100001,Emmanuel Muthoni,emmanuel.muthoni1@strathmore.edu,Male,19,SBS_BCOM,BCOM,SBS,1,2,BCOM1.2,2024-12-03,Active,70.12857142857142,2.8057142857142856,7.0,0.6836734693877551,134.0,196.0,401.0,9978.0,24.882793017456358,100.25,Strathmore University Business School,Bachelor of Commerce
100002,Joyce Jepkorir,joyce.jepkorir2@strathmore.edu,Male,18,SBS_BSCM,BSCM,SBS,1,2,BSCM1.2,2024-12-15,Active,77.17142857142858,3.085714285714286,7.0,0.8469387755102041,166.0,196.0,580.0,17333.0,29.88448275862069,145.0,Strathmore University Business School,Bachelor of Science in Supply Chain and Operations Management
100003,Brian Kamau,brian.kamau3@strathmore.edu,Male,22,SBS_BCOM,BCOM,SBS,2,2,BCOM2.2,2023-08-11,Active,74.89999999999999,2.9949999999999997,6.0,0.8234126984126985,151.0,182.0,509.0,18282.0,35.917485265225935,127.25,Strathmore University Business School,Bachelor of Commerce
100004,John Achieng,john.achieng4@strathmore.edu,Female,22,SBS_BSCM,BSCM,SBS,4,2,BSCM4.2,2021-11-14,On Leave,74.175,2.967142857142857,6.0,0.7916666666666666,126.0,0.0,0.0,0.0,30.20418848167539,109.25,Strathmore University Business School,Bachelor of Science in Supply Chain and Operations Management
100005,Daniel Muthoni,daniel.muthoni5@strathmore.edu,Male,20,SBS_BCOM,BCOM,SBS,1,2,BCOM1.2,2024-10-11,Active,81.41666666666667,3.2566666666666664,6.0,0.8511904761904763,143.0,168.0,490.0,15240.0,31.102040816326532,122.5,Strathmore University Business School,Bachelor of Commerce
100006,Mary Kariuki,mary.kariuki6@strathmore.edu,Male,20,SBS_BSCM,BSCM,SBS,1,2,BSCM1.2,2024-07-31,Active,74.2,2.968571428571429,7.0,0.8112244897959184,159.0,196.0,481.0,13337.0,27.727650727650726,120.25,Strathmore University Business School,Bachelor of Science in Supply Chain and Operations Management
100007,Ruth Njoroge,ruth.njoroge7@strathmore.edu,Male,20,SBS_BSCM,BSCM,SBS,1,1,BSCM1.1,2024-12-18,Active,74.89999999999999,2.9985714285714287,7.0,0.7551020408163265,148.0,196.0,466.0,14539.0,31.199570815450645,116.5,Strathmore University Business School,Bachelor of Science in Supply Chain and Operations Management
100008,Sarah Mwangi,sarah.mwangi8@strathmore.edu,Female,21,SBS_BFS,BFS,SBS,3,2,BFS3.2,2022-10-06,Active,81.08,3.242,5.0,0.9,126.0,140.0,376.0,11398.0,30.31382978723404,94.0,Strathmore University Business School,Bachelor of Financial Services
100009,Joyce Otieno,joyce.otieno9@strathmore.edu,Male,19,SBS_BCOM,BCOM,SBS,1,1,BCOM1.1,2024-09-11,Active,68.17142857142856,2.7285714285714286,7.0,0.75,147.0,196.0,445.0,10357.0,23.274157303370785,111.25,Strathmore University Business School,Bachelor of Commerce
100010,Emmanuel Jepkorir,emmanuel.jepkorir10@strathmore.edu,Male,20,SBS_BFS,BFS,SBS,2,2,BFS2.2,2023-12-31,Active,57.41428571428571,2.2971428571428576,7.0,0.6207482993197279,127.0,210.0,350.0,8756.0,25.017142857142858,87.5,Strathmore University Business School,Bachelor of Financial Services
100011,Joseph Otieno,joseph.otieno11@strathmore.edu,Female,19,SBS_BCOM,BCOM,SBS,1,1,BCOM1.1,2024-07-24,Active,78.61428571428571,3.1471428571428572,7.0,0.8571428571428571,168.0,196.0,616.0,17053.0,27.683441558441558,154.0,Strathmore University Business School,Bachelor of Commerce
100012,Emmanuel Kariuki,emmanuel.kariuki12@strathmore.edu,Male,20,SBS_BCOM,BCOM,SBS,2,2,BCOM2.2,2023-08-18,Active,83.8,3.35,6.0,0.8690476190476191,146.0,168.0,572.0,18037.0,31.533216783216783,143.0,Strathmore University Business School,Bachelor of Commerce
100013,Rose Njeri,rose.njeri13@strathmore.edu,Male,22,SBS_BSCM,BSCM,SBS,4,2,BSCM4.2,2021-08-31,Active,70.525,2.8225000000000002,4.0,0.6964285714285714,63.0,84.0,295.0,6826.0,23.138983050847457,73.75,Strathmore University Business School,Bachelor of Science in Supply Chain and Operations Management
