student_id,name,email,gender,age,program_id,program_code,school_id,year_of_study,semester,class_level,enrollment_date,status
100001,Emmanuel Muthoni,emmanuel.muthoni1@strathmore.edu,Male,19,SBS_BCOM,BCOM,SBS,1,2,BCOM1.2,2024-12-03,Active
100002,Joyce Jepkorir,joyce.jepkorir2@strathmore.edu,Male,18,SBS_BSCM,BSCM,SBS,1,2,BSCM1.2,2024-12-15,Active
100003,Brian Kamau,brian.kamau3@strathmore.edu,Male,22,SBS_BCOM,BCOM,SBS,2,2,BCOM2.2,2023-08-11,Active
100004,John Achieng,john.achieng4@strathmore.edu,Female,22,SBS_BSCM,BSCM,SBS,4,2,BSCM4.2,2021-11-14,On Leave
100005,Daniel Muthoni,daniel.muthoni5@strathmore.edu,Male,20,SBS_BCOM,BCOM,SBS,1,2,BCOM1.2,2024-10-11,Active
100006,Mary Kariuki,mary.kariuki6@strathmore.edu,Male,20,SBS_BSCM,BSCM,SBS,1,2,BSCM1.2,2024-07-31,Active
100007,Ruth Njoroge,ruth.njoroge7@strathmore.edu,Male,20,SBS_BSCM,BSCM,SBS,1,1,BSCM1.1,2024-12-18,Active
100008,Sarah Mwangi,sarah.mwangi8@strathmore.edu,Female,21,SBS_BFS,BFS,SBS,3,2,BFS3.2,2022-10-06,Active
100009,Joyce Otieno,joyce.otieno9@strathmore.edu,Male,19,SBS_BCOM,BCOM,SBS,1,1,BCOM1.1,2024-09-11,Active
100010,Emmanuel Jepkorir,emmanuel.jepkorir10@strathmore.edu,Male,20,SBS_BFS,BFS,SBS,2,2,BFS2.2,2023-12-31,Active
100011,Joseph Otieno,joseph.otieno11@strathmore.edu,Female,19,SBS_BCOM,BCOM,SBS,1,1,BCOM1.1,2024-07-24,Active
100012,Emmanuel Kariuki,emmanuel.kariuki12@strathmore.edu,Male,20,SBS_BCOM,BCOM,SBS,2,2,BCOM2.2,2023-08-18,Active
100013,Rose Njeri,rose.njeri13@strathmore.edu,Male,22,SBS_BSCM,BSCM,SBS,4,2,BSCM4.2,2021-08-31,Active
100014,Mary Muthoni,mary.muthoni14@strathmore.edu,Female,19,SBS_BCOM,BCOM,SBS,2,1,BCOM2.1,2023-10-02,Active
100015,Kevin Kipchoge,kevin.kipchoge15@strathmore.edu,Male,22,SBS_BFS,BFS,SBS,3,1,BFS3.1,2022-07-28,Active
100016,Jane Njeri,jane.njeri16@strathmore.edu,Male,21,SBS_BSCM,BSCM,SBS,2,2,BSCM2.2,2023-09-02,Active
100017,Brian Muthoni,brian.muthoni17@strathmore.edu,Male,22,SBS_BSCM,BSCM,SBS,3,1,BSCM3.1,2022-11-28,Active
100018,Brian Kamau,brian.kamau18@strathmore.edu,Male,20,SBS_BCOM,BCOM,SBS,3,2,BCOM3.2,2022-10-08,Active
100019,Jane Wambui,jane.wambui19@strathmore.edu,Male,18,SBS_BCOM,BCOM,SBS,1,1,BCOM1.1,2024-09-05,Active
100020,Nancy Kibet,nancy.kibet20@strathmore.edu,Male,21,SBS_BFS,BFS,SBS,2,2,BFS2.2,2023-08-26,Active
100021,Ann Njoroge,ann.njoroge21@strathmore.edu,Female,21,SBS_BFS,BFS,SBS,2,2,BFS2.2,2023-09-18,Active
100022,Kevin Muthoni,kevin.muthoni22@strathmore.edu,Male,21,SBS_BCOM,BCOM,SBS,2,1,BCOM2.1,2024-01-03,Active
100023,Faith Wambui,faith.wambui23@strathmore.edu,Male,19,SBS_BSCM,BSCM,SBS,1,1,BSCM1.1,2024-12-21,Active
100024,Daniel Ochieng,daniel.ochieng24@strathmore.edu,Female,20,SBS_BSCM,BSCM,SBS,2,2,BSCM2.2,2023-08-23,Active
100025,Samuel Wangui,samuel.wangui25@strathmore.edu,Female,20,SBS_BSCM,BSCM,SBS,2,2,BSCM2.2,2023-12-15,Active
100026,Ann Chebet,ann.chebet26@strathmore.edu,Female,21,SBS_BSCM,BSCM,SBS,4,2,BSCM4.2,2021-07-20,Active
100027,Emmanuel Muthoni,emmanuel.muthoni27@strathmore.edu,Female,18,SBS_BCOM,BCOM,SBS,1,2,BCOM1.2,2024-11-05,Active
100028,Nancy Kariuki,nancy.kariuki28@strathmore.edu,Male,21,SBS_BFS,BFS,SBS,2,2,BFS2.2,2023-09-12,Active
100029,Peter Kariuki,peter.kariuki29@strathmore.edu,Male,18,SBS_BCOM,BCOM,SBS,1,1,BCOM1.1,2024-11-08,Active
100030,Lucy Wangui,lucy.wangui30@strathmore.edu,Male,20,SBS_BFS,BFS,SBS,2,2,BFS2.2,2023-10-03,Active
100031,Joseph Otieno,joseph.otieno31@strathmore.edu,Female,24,SBS_BFS,BFS,SBS,4,2,BFS4.2,2021-11-30,Active
100032,David Wanjiru,david.wanjiru32@strathmore.edu,Male,18,SBS_BCOM,BCOM,SBS,1,2,BCOM1.2,2024-08-11,Active
100033,Brian Achieng,brian.achieng33@strathmore.edu,Male,18,SBS_BCOM,BCOM,SBS,1,1,BCOM1.1,2024-08-08,Active
100034,Faith Mwangi,faith.mwangi34@strathmore.edu,Male,18,SBS_BCOM,BCOM,SBS,1,1,BCOM1.1,2024-09-22,Active
100035,Samuel Kipchoge,samuel.kipchoge35@strathmore.edu,Male,22,SBS_BFS,BFS,SBS,3,2,BFS3.2,2022-11-08,Active
100036,James Nyambura,james.nyambura36@strathmore.edu,Male,21,SBS_BSCM,BSCM,SBS,4,2,BSCM4.2,2021-09-13,Active
100037,Samuel Muthoni,samuel.muthoni37@strathmore.edu,Female,19,SBS_BFS,BFS,SBS,1,1,BFS1.1,2024-10-10,Active
100038,Faith Chebet,faith.chebet38@strathmore.edu,Female,22,SBS_BCOM,BCOM,SBS,3,1,BCOM3.1,2022-08-05,On Leave
100039,Emmanuel Kipchoge,emmanuel.kipchoge39@strathmore.edu,Male,19,SBS_BCOM,BCOM,SBS,1,2,BCOM1.2,2024-11-01,Active
100040,Sarah Jepkorir,sarah.jepkorir40@strathmore.edu,Female,20,SBS_BCOM,BCOM,SBS,2,2,BCOM2.2,2023-10-13,Active
100041,Emmanuel Otieno,emmanuel.otieno41@strathmore.edu,Male,21,SBS_BCOM,BCOM,SBS,4,2,BCOM4.2,2021-07-30,Active
100042,Michael Wanjiru,michael.wanjiru42@strathmore.edu,Male,20,SBS_BFS,BFS,SBS,1,2,BFS1.2,2024-11-27,Active
100043,Nancy Njeri,nancy.njeri43@strathmore.edu,Male,19,SBS_BCOM,BCOM,SBS,1,1,BCOM1.1,2024-08-21,Active
100044,Ruth Jepkorir,ruth.jepkorir44@strathmore.edu,Male,19,SBS_BCOM,BCOM,SBS,2,2,BCOM2.2,2023-10-22,Active
100045,Mary Chebet,mary.chebet45@strathmore.edu,Male,21,SBS_BCOM,BCOM,SBS,2,1,BCOM2.1,2023-08-18,Active
100046,Ann Kibet,ann.kibet46@strathmore.edu,Male,22,SBS_BCOM,BCOM,SBS,2,1,BCOM2.1,2024-01-02,Active
100047,Daniel Njeri,daniel.njeri47@strathmore.edu,Male,19,SBS_BFS,BFS,SBS,2,2,BFS2.2,2023-10-03,Active
100048,Lucy Wambui,lucy.wambui48@strathmore.edu,Female,21,SBS_BCOM,BCOM,SBS,2,2,BCOM2.2,2023-11-11,Active
