user_id,username,email,role,full_name,is_active
U_100001,emmanuel.muthoni1,emmanuel.muthoni1@strathmore.edu,student,Emmanuel Muthoni,True
U_100002,joyce.jepkorir2,joyce.jepkorir2@strathmore.edu,student,Joyce Jepkorir,True
U_100003,brian.kamau3,brian.kamau3@strathmore.edu,student,Brian Kamau,True
U_100004,john.achieng4,john.achieng4@strathmore.edu,student,John Achieng,False
U_100005,daniel.muthoni5,daniel.muthoni5@strathmore.edu,student,Daniel Muthoni,True
U_100006,mary.kariuki6,mary.kariuki6@strathmore.edu,student,Mary Kariuki,True
U_100007,ruth.njoroge7,ruth.njoroge7@strathmore.edu,student,Ruth Njoroge,True
U_100008,sarah.mwangi8,sarah.mwangi8@strathmore.edu,student,Sarah Mwangi,True
U_100009,joyce.otieno9,joyce.otieno9@strathmore.edu,student,Joyce Otieno,True
U_100010,emmanuel.jepkorir10,emmanuel.jepkorir10@strathmore.edu,student,Emmanuel Jepkorir,True
U_100011,joseph.otieno11,joseph.otieno11@strathmore.edu,student,Joseph Otieno,True
U_100012,emmanuel.kariuki12,emmanuel.kariuki12@strathmore.edu,student,Emmanuel Kariuki,True
U_100013,rose.njeri13,rose.njeri13@strathmore.edu,student,Rose Njeri,True
U_100014,mary.muthoni14,mary.muthoni14@strathmore.edu,student,Mary Muthoni,True
U_100015,kevin.kipchoge15,kevin.kipchoge15@strathmore.edu,student,Kevin Kipchoge,True
U_100016,jane.njeri16,jane.njeri16@strathmore.edu,student,Jane Njeri,True
U_100017,brian.muthoni17,brian.muthoni17@strathmore.edu,student,Brian Muthoni,True
U_100018,brian.kamau18,brian.kamau18@strathmore.edu,student,Brian Kamau,True
U_100019,jane.wambui19,jane.wambui19@strathmore.edu,student,Jane Wambui,True
U_100020,nancy.kibet20,nancy.kibet20@strathmore.edu,student,Nancy Kibet,True
U_100021,ann.njoroge21,ann.njoroge21@strathmore.edu,student,Ann Njoroge,True
U_100022,kevin.muthoni22,kevin.muthoni22@strathmore.edu,student,Kevin Muthoni,True
U_100023,faith.wambui23,faith.wambui23@strathmore.edu,student,Faith Wambui,True
U_100024,daniel.ochieng24,daniel.ochieng24@strathmore.edu,student,Daniel Ochieng,True
U_100025,samuel.wangui25,samuel.wangui25@strathmore.edu,student,Samuel Wangui,True
U_100026,ann.chebet26,ann.chebet26@strathmore.edu,student,Ann Chebet,True
U_100027,emmanuel.muthoni27,emmanuel.muthoni27@strathmore.edu,student,Emmanuel Muthoni,True
U_100028,nancy.kariuki28,nancy.kariuki28@strathmore.edu,student,Nancy Kariuki,True
U_100029,peter.kariuki29,peter.kariuki29@strathmore.edu,student,Peter Kariuki,True
U_100030,lucy.wangui30,lucy.wangui30@strathmore.edu,student,Lucy Wangui,True
U_100031,joseph.otieno31,joseph.otieno31@strathmore.edu,student,Joseph Otieno,True
